,experiment_id,study_id,experiment_type,experiment_type_id,experiment_control,source_id,reference_source,comments
88,,SDY110,vaccination experiment,,1,,,
89,,SDY110,vaccination experiment,,1,,,
90,,SDY110,vaccination experiment,,1,,,
91,,SDY111,vaccination experiment,,1,,,
92,,SDY111,vaccination experiment,,1,,,
93,,SDY112,vaccination experiment,,1,,,
94,,SDY113,vaccination experiment,,1,,,
95,,SDY113,vaccination experiment,,1,,,
96,,SDY58,vaccination experiment,,1,,,
97,,SDY112,vaccination experiment,,1,,,
98,,SDY131,vaccination experiment,,1,,,
99,,SDY131,vaccination experiment,,1,,,
100,,SDY131,vaccination experiment,,1,,,
101,,SDY132,vaccination experiment,,1,,,
102,,SDY91,vaccination experiment,,1,,,
103,,SDY139,vaccination experiment,,1,,,
104,,SDY139,vaccination experiment,,1,,,
105,,SDY139,vaccination experiment,,1,,,
106,,SDY139,vaccination experiment,,1,,,
107,,SDY139,vaccination experiment,,1,,,
108,,SDY139,vaccination experiment,,1,,,
109,,SDY139,vaccination experiment,,1,,,
110,,SDY139,vaccination experiment,,1,,,
111,,SDY37,vaccination experiment,,1,,,
112,,SDY112,vaccination experiment,,1,,,
113,,SDY147,vaccination experiment,,1,,,
114,,SDY147,vaccination experiment,,1,,,
115,,SDY148,vaccination experiment,,1,,,
116,,SDY148,vaccination experiment,,1,,,
117,,SDY148,vaccination experiment,,1,,,
118,,SDY148,vaccination experiment,,1,,,
119,,SDY148,vaccination experiment,,1,,,
120,,SDY148,vaccination experiment,,1,,,
121,,SDY162,vaccination experiment,,1,,,
122,,SDY167,vaccination experiment,,1,,,
123,,SDY167,vaccination experiment,,1,,,
124,,SDY167,vaccination experiment,,1,,,
125,,SDY167,vaccination experiment,,1,,,
126,,SDY165,vaccination experiment,,1,,,
127,,SDY165,vaccination experiment,,1,,,
128,,SDY165,vaccination experiment,,1,,,
129,,SDY165,vaccination experiment,,1,,,
130,,SDY144,vaccination experiment,,1,,,
131,,SDY180,vaccination experiment,,1,,,
132,,SDY180,vaccination experiment,,1,,,
133,,SDY180,vaccination experiment,,1,,,
134,,SDY180,vaccination experiment,,1,,,
135,,SDY183,vaccination experiment,,1,,,
136,,SDY200,vaccination experiment,,1,,,
137,,SDY196,vaccination experiment,,1,,,
138,,SDY196,vaccination experiment,,1,,,
139,,SDY198,vaccination experiment,,1,,,
140,,SDY198,vaccination experiment,,1,,,
141,,SDY199,vaccination experiment,,1,,,
142,,SDY199,vaccination experiment,,1,,,
143,,SDY201,vaccination experiment,,1,,,
144,,SDY201,vaccination experiment,,1,,,
145,,SDY197,vaccination experiment,,1,,,
146,,SDY197,vaccination experiment,,1,,,
147,,SDY196,vaccination experiment,,1,,,
148,,SDY196,vaccination experiment,,1,,,
149,,SDY197,vaccination experiment,,1,,,
150,,SDY404,vaccination experiment,,1,,,
151,,SDY404,vaccination experiment,,1,,,
152,,SDY111,vaccination experiment,,1,,,
153,,SDY207,vaccination experiment,,1,,,
154,,SDY207,vaccination experiment,,1,,,
155,,SDY208,vaccination experiment,,1,,,
156,,SDY208,vaccination experiment,,1,,,
157,,SDY208,vaccination experiment,,1,,,
158,,SDY208,vaccination experiment,,1,,,
159,,SDY208,vaccination experiment,,1,,,
160,,SDY67,vaccination experiment,,1,,,
161,,SDY67,vaccination experiment,,1,,,
162,,SDY67,vaccination experiment,,1,,,
163,,SDY67,vaccination experiment,,1,,,
164,,SDY212,vaccination experiment,,1,,,
165,,SDY212,vaccination experiment,,1,,,
166,,SDY212,vaccination experiment,,1,,,
167,,SDY212,vaccination experiment,,1,,,
168,,SDY216,vaccination experiment,,1,,,
169,,SDY216,vaccination experiment,,1,,,
170,,SDY215,vaccination experiment,,1,,,
171,,SDY212,vaccination experiment,,1,,,
172,,SDY217,vaccination experiment,,1,,,
173,,SDY217,vaccination experiment,,1,,,
174,,SDY217,vaccination experiment,,1,,,
175,,SDY217,vaccination experiment,,1,,,
176,,SDY217,vaccination experiment,,1,,,
177,,SDY217,vaccination experiment,,1,,,
178,,SDY217,vaccination experiment,,1,,,
179,,SDY217,vaccination experiment,,1,,,
180,,SDY217,vaccination experiment,,1,,,
181,,SDY217,vaccination experiment,,1,,,
182,,SDY217,vaccination experiment,,1,,,
183,,SDY217,vaccination experiment,,1,,,
184,,SDY217,vaccination experiment,,1,,,
185,,SDY212,vaccination experiment,,1,,,
186,,SDY167,vaccination experiment,,1,,,
187,,SDY225,vaccination experiment,,1,,,
188,,SDY225,vaccination experiment,,1,,,
189,,SDY225,vaccination experiment,,1,,,
190,,SDY225,vaccination experiment,,1,,,
191,,SDY225,vaccination experiment,,1,,,
192,,SDY225,vaccination experiment,,1,,,
193,,SDY226,vaccination experiment,,1,,,
194,,SDY226,vaccination experiment,,1,,,
195,,SDY226,vaccination experiment,,1,,,
196,,SDY226,vaccination experiment,,1,,,
197,,SDY226,vaccination experiment,,1,,,
198,,SDY218,vaccination experiment,,1,,,
199,,SDY224,vaccination experiment,,1,,,
200,,SDY224,vaccination experiment,,1,,,
201,,SDY224,vaccination experiment,,1,,,
202,,SDY224,vaccination experiment,,1,,,
203,,SDY224,vaccination experiment,,1,,,
204,,SDY224,vaccination experiment,,1,,,
205,,SDY224,vaccination experiment,,1,,,
206,,SDY230,vaccination experiment,,1,,,
207,,SDY230,vaccination experiment,,1,,,
208,,SDY232,vaccination experiment,,1,,,
209,,SDY197,vaccination experiment,,1,,,
210,,SDY198,vaccination experiment,,1,,,
211,,SDY199,vaccination experiment,,1,,,
212,,SDY200,vaccination experiment,,1,,,
213,,SDY201,vaccination experiment,,1,,,
214,,SDY198,vaccination experiment,,1,,,
215,,SDY199,vaccination experiment,,1,,,
216,,SDY200,vaccination experiment,,1,,,
217,,SDY201,vaccination experiment,,1,,,
218,,SDY259,vaccination experiment,,1,,,
219,,SDY194,vaccination experiment,,1,,,
220,,SDY194,vaccination experiment,,1,,,
221,,SDY261,vaccination experiment,,1,,,
222,,SDY261,vaccination experiment,,1,,,
223,,SDY261,vaccination experiment,,1,,,
224,,SDY261,vaccination experiment,,1,,,
225,,SDY261,vaccination experiment,,1,,,
226,,SDY262,vaccination experiment,,1,,,
227,,SDY262,vaccination experiment,,1,,,
228,,SDY262,vaccination experiment,,1,,,
229,,SDY262,vaccination experiment,,1,,,
230,,SDY264,vaccination experiment,,1,,,
231,,SDY264,vaccination experiment,,1,,,
232,,SDY264,vaccination experiment,,1,,,
233,,SDY262,vaccination experiment,,1,,,
234,,SDY180,vaccination experiment,,1,,,
235,,SDY180,vaccination experiment,,1,,,
236,,SDY111,vaccination experiment,,1,,,
237,,SDY268,vaccination experiment,,1,,,
238,,SDY268,vaccination experiment,,1,,,
239,,SDY400,vaccination experiment,,1,,,
240,,SDY269,vaccination experiment,,1,,,
241,,SDY269,vaccination experiment,,1,,,
242,,SDY269,vaccination experiment,,1,,,
243,,SDY269,vaccination experiment,,1,,,
244,,SDY270,vaccination experiment,,1,,,
245,,SDY271,vaccination experiment,,1,,,
246,,SDY218,vaccination experiment,,1,,,
247,,SDY272,vaccination experiment,,1,,,
248,,SDY272,vaccination experiment,,1,,,
249,,SDY272,vaccination experiment,,1,,,
250,,SDY278,vaccination experiment,,1,,,
251,,SDY167,vaccination experiment,,1,,,
252,,SDY67,vaccination experiment,,1,,,
253,,SDY67,vaccination experiment,,1,,,
254,,SDY295,vaccination experiment,,1,,,
255,,SDY296,vaccination experiment,,1,,,
256,,SDY296,vaccination experiment,,1,,,
257,,SDY296,vaccination experiment,,1,,,
258,,SDY296,vaccination experiment,,1,,,
259,,SDY296,vaccination experiment,,1,,,
260,,SDY299,vaccination experiment,,1,,,
261,,SDY300,vaccination experiment,,1,,,
262,,SDY690,vaccination experiment,,1,,,
263,,SDY89,vaccination experiment,,1,,,
264,,SDY74,vaccination experiment,,1,,,
265,,SDY301,vaccination experiment,,1,,,
266,,SDY301,vaccination experiment,,1,,,
267,,SDY301,vaccination experiment,,1,,,
268,,SDY301,vaccination experiment,,1,,,
269,,SDY302,vaccination experiment,,1,,,
270,,SDY302,vaccination experiment,,1,,,
271,,SDY302,vaccination experiment,,1,,,
272,,SDY302,vaccination experiment,,1,,,
273,,SDY302,vaccination experiment,,1,,,
274,,SDY144,vaccination experiment,,1,,,
275,,SDY144,vaccination experiment,,1,,,
276,,SDY144,vaccination experiment,,1,,,
277,,SDY113,vaccination experiment,,1,,,
278,,SDY305,vaccination experiment,,1,,,
279,,SDY312,vaccination experiment,,1,,,
280,,SDY312,vaccination experiment,,1,,,
281,,SDY315,vaccination experiment,,1,,,
282,,SDY314,vaccination experiment,,1,,,
283,,SDY314,vaccination experiment,,1,,,
284,,SDY311,vaccination experiment,,1,,,
285,,SDY311,vaccination experiment,,1,,,
286,,SDY350,vaccination experiment,,1,,,
287,,SDY296,vaccination experiment,,1,,,
288,,SDY113,vaccination experiment,,1,,,
289,,SDY144,vaccination experiment,,1,,,
290,,SDY311,vaccination experiment,,1,,,
291,,SDY312,vaccination experiment,,1,,,
292,,SDY305,vaccination experiment,,1,,,
293,,SDY364,vaccination experiment,,1,,,
294,,SDY364,vaccination experiment,,1,,,
295,,SDY364,vaccination experiment,,1,,,
296,,SDY364,vaccination experiment,,1,,,
297,,SDY315,vaccination experiment,,1,,,
298,,SDY368,vaccination experiment,,1,,,
299,,SDY368,vaccination experiment,,1,,,
300,,SDY368,vaccination experiment,,1,,,
301,,SDY368,vaccination experiment,,1,,,
302,,SDY369,vaccination experiment,,1,,,
303,,SDY369,vaccination experiment,,1,,,
304,,SDY369,vaccination experiment,,1,,,
305,,SDY369,vaccination experiment,,1,,,
306,,SDY404,vaccination experiment,,1,,,
307,,SDY400,vaccination experiment,,1,,,
308,,SDY314,vaccination experiment,,1,,,
309,,SDY202,vaccination experiment,,1,,,
310,,SDY372,vaccination experiment,,1,,,
311,,SDY372,vaccination experiment,,1,,,
312,,SDY372,vaccination experiment,,1,,,
313,,SDY372,vaccination experiment,,1,,,
314,,SDY314,vaccination experiment,,1,,,
315,,SDY376,vaccination experiment,,1,,,
316,,SDY376,vaccination experiment,,1,,,
317,,SDY376,vaccination experiment,,1,,,
318,,SDY376,vaccination experiment,,1,,,
319,,SDY301,vaccination experiment,,1,,,
320,,SDY387,vaccination experiment,,1,,,
321,,SDY387,vaccination experiment,,1,,,
322,,SDY387,vaccination experiment,,1,,,
323,,SDY387,vaccination experiment,,1,,,
324,,SDY314,vaccination experiment,,1,,,
325,,SDY202,vaccination experiment,,1,,,
326,,SDY691,vaccination experiment,,1,,,
327,,SDY396,vaccination experiment,,1,,,
328,,SDY396,vaccination experiment,,1,,,
329,,SDY396,vaccination experiment,,1,,,
330,,SDY396,vaccination experiment,,1,,,
331,,SDY396,vaccination experiment,,1,,,
332,,SDY396,vaccination experiment,,1,,,
333,,SDY396,vaccination experiment,,1,,,
334,,SDY396,vaccination experiment,,1,,,
335,,SDY406,vaccination experiment,,1,,,
336,,SDY113,vaccination experiment,,1,,,
337,,SDY416,vaccination experiment,,1,,,
338,,SDY416,vaccination experiment,,1,,,
339,,SDY111,vaccination experiment,,1,,,
340,,SDY202,vaccination experiment,,1,,,
341,,SDY296,vaccination experiment,,1,,,
342,,SDY67,vaccination experiment,,1,,,
343,,SDY305,vaccination experiment,,1,,,
344,,SDY305,vaccination experiment,,1,,,
345,,SDY305,vaccination experiment,,1,,,
346,,SDY113,vaccination experiment,,1,,,
347,,SDY315,vaccination experiment,,1,,,
348,,SDY461,vaccination experiment,,1,,,
349,,SDY112,vaccination experiment,,1,,,
350,,SDY202,vaccination experiment,,1,,,
351,,SDY311,vaccination experiment,,1,,,
352,,SDY406,vaccination experiment,,1,,,
353,,SDY23,vaccination experiment,,1,,,
354,,SDY34,vaccination experiment,,1,,,
355,,SDY56,vaccination experiment,,1,,,
356,,SDY56,vaccination experiment,,1,,,
357,,SDY56,vaccination experiment,,1,,,
358,,SDY56,vaccination experiment,,1,,,
359,,SDY305,vaccination experiment,,1,,,
360,,SDY465,vaccination experiment,,1,,,
361,,SDY395,vaccination experiment,,1,,,
362,,SDY421,vaccination experiment,,1,,,
363,,SDY305,vaccination experiment,,1,,,
364,,SDY315,vaccination experiment,,1,,,
365,,SDY312,vaccination experiment,,1,,,
366,,SDY471,vaccination experiment,,1,,,
367,,SDY111,vaccination experiment,,1,,,
368,,SDY113,vaccination experiment,,1,,,
369,,SDY406,vaccination experiment,,1,,,
370,,SDY305,vaccination experiment,,1,,,
371,,SDY472,vaccination experiment,,1,,,
372,,SDY475,vaccination experiment,,1,,,
373,,SDY312,vaccination experiment,,1,,,
374,,SDY460,vaccination experiment,,1,,,
375,,SDY311,vaccination experiment,,1,,,
376,,SDY202,vaccination experiment,,1,,,
377,,SDY202,vaccination experiment,,1,,,
378,,SDY112,vaccination experiment,,1,,,
379,,SDY113,vaccination experiment,,1,,,
380,,SDY473,vaccination experiment,,1,,,
381,,SDY473,vaccination experiment,,1,,,
382,,SDY473,vaccination experiment,,1,,,
383,,SDY301,vaccination experiment,,1,,,
384,,SDY296,vaccination experiment,,1,,,
385,,SDY180,vaccination experiment,,1,,,
386,,SDY478,vaccination experiment,,1,,,
387,,SDY472,vaccination experiment,,1,,,
388,,SDY478,vaccination experiment,,1,,,
389,,SDY506,vaccination experiment,,1,,,
390,,SDY58,vaccination experiment,,1,,,
391,,SDY58,vaccination experiment,,1,,,
392,,SDY508,vaccination experiment,,1,,,
393,,SDY111,vaccination experiment,,1,,,
394,,SDY517,vaccination experiment,,1,,,
395,,SDY515,vaccination experiment,,1,,,
396,,SDY515,vaccination experiment,,1,,,
397,,SDY515,vaccination experiment,,1,,,
398,,SDY514,vaccination experiment,,1,,,
399,,SDY404,vaccination experiment,,1,,,
400,,SDY519,vaccination experiment,,1,,,
401,,SDY519,vaccination experiment,,1,,,
402,,SDY519,vaccination experiment,,1,,,
403,,SDY514,vaccination experiment,,1,,,
404,,SDY514,vaccination experiment,,1,,,
405,,SDY67,vaccination experiment,,1,,,
406,,SDY67,vaccination experiment,,1,,,
407,,SDY67,vaccination experiment,,1,,,
408,,SDY523,vaccination experiment,,1,,,
409,,SDY522,vaccination experiment,,1,,,
410,,SDY522,vaccination experiment,,1,,,
411,,SDY522,vaccination experiment,,1,,,
412,,SDY522,vaccination experiment,,1,,,
413,,SDY67,vaccination experiment,,1,,,
414,,SDY520,vaccination experiment,,1,,,
415,,SDY479,vaccination experiment,,1,,,
416,,SDY420,vaccination experiment,,1,,,
417,,SDY514,vaccination experiment,,1,,,
418,,SDY515,vaccination experiment,,1,,,
419,,SDY519,vaccination experiment,,1,,,
420,,SDY420,vaccination experiment,,1,,,
421,,SDY420,vaccination experiment,,1,,,
422,,SDY564,vaccination experiment,,1,,,
423,,SDY564,vaccination experiment,,1,,,
424,,SDY570,vaccination experiment,,1,,,
425,,SDY565,vaccination experiment,,1,,,
426,,SDY572,vaccination experiment,,1,,,
427,,SDY572,vaccination experiment,,1,,,
428,,SDY572,vaccination experiment,,1,,,
429,,SDY572,vaccination experiment,,1,,,
430,,SDY572,vaccination experiment,,1,,,
431,,SDY572,vaccination experiment,,1,,,
432,,SDY572,vaccination experiment,,1,,,
433,,SDY572,vaccination experiment,,1,,,
434,,SDY572,vaccination experiment,,1,,,
435,,SDY572,vaccination experiment,,1,,,
436,,SDY572,vaccination experiment,,1,,,
437,,SDY572,vaccination experiment,,1,,,
438,,SDY572,vaccination experiment,,1,,,
439,,SDY572,vaccination experiment,,1,,,
440,,SDY572,vaccination experiment,,1,,,
441,,SDY572,vaccination experiment,,1,,,
442,,SDY579,vaccination experiment,,1,,,
443,,SDY579,vaccination experiment,,1,,,
444,,SDY579,vaccination experiment,,1,,,
445,,SDY579,vaccination experiment,,1,,,
446,,SDY579,vaccination experiment,,1,,,
447,,SDY579,vaccination experiment,,1,,,
448,,SDY579,vaccination experiment,,1,,,
449,,SDY579,vaccination experiment,,1,,,
450,,SDY587,vaccination experiment,,1,,,
451,,SDY588,vaccination experiment,,1,,,
452,,SDY588,vaccination experiment,,1,,,
453,,SDY588,vaccination experiment,,1,,,
454,,SDY588,vaccination experiment,,1,,,
455,,SDY474,vaccination experiment,,1,,,
456,,SDY587,vaccination experiment,,1,,,
457,,SDY591,vaccination experiment,,1,,,
458,,SDY591,vaccination experiment,,1,,,
459,,SDY597,vaccination experiment,,1,,,
460,,SDY598,vaccination experiment,,1,,,
461,,SDY598,vaccination experiment,,1,,,
462,,SDY601,vaccination experiment,,1,,,
463,,SDY601,vaccination experiment,,1,,,
464,,SDY601,vaccination experiment,,1,,,
465,,SDY598,vaccination experiment,,1,,,
466,,SDY598,vaccination experiment,,1,,,
467,,SDY601,vaccination experiment,,1,,,
468,,SDY579,vaccination experiment,,1,,,
469,,SDY579,vaccination experiment,,1,,,
470,,SDY601,vaccination experiment,,1,,,
471,,SDY601,vaccination experiment,,1,,,
472,,SDY601,vaccination experiment,,1,,,
473,,SDY601,vaccination experiment,,1,,,
474,,SDY583,vaccination experiment,,1,,,
475,,SDY583,vaccination experiment,,1,,,
476,,SDY585,vaccination experiment,,1,,,
477,,SDY585,vaccination experiment,,1,,,
478,,SDY299,vaccination experiment,,1,,,
479,,SDY363,vaccination experiment,,1,,,
480,,SDY363,vaccination experiment,,1,,,
481,,SDY363,vaccination experiment,,1,,,
482,,SDY363,vaccination experiment,,1,,,
483,,SDY614,vaccination experiment,,1,,,
484,,SDY614,vaccination experiment,,1,,,
485,,SDY614,vaccination experiment,,1,,,
486,,SDY614,vaccination experiment,,1,,,
487,,SDY614,vaccination experiment,,1,,,
488,,SDY614,vaccination experiment,,1,,,
489,,SDY614,vaccination experiment,,1,,,
490,,SDY614,vaccination experiment,,1,,,
491,,SDY614,vaccination experiment,,1,,,
492,,SDY614,vaccination experiment,,1,,,
493,,SDY67,vaccination experiment,,1,,,
494,,SDY622,vaccination experiment,,1,,,
495,,SDY622,vaccination experiment,,1,,,
496,,SDY622,vaccination experiment,,1,,,
497,,SDY272,vaccination experiment,,1,,,
498,,SDY622,vaccination experiment,,1,,,
499,,SDY622,vaccination experiment,,1,,,
500,,SDY644,vaccination experiment,,1,,,
501,,SDY644,vaccination experiment,,1,,,
502,,SDY645,vaccination experiment,,1,,,
503,,SDY645,vaccination experiment,,1,,,
504,,SDY645,vaccination experiment,,1,,,
505,,SDY645,vaccination experiment,,1,,,
506,,SDY652,vaccination experiment,,1,,,
507,,SDY56,vaccination experiment,,1,,,
508,,SDY640,vaccination experiment,,1,,,
509,,SDY557,vaccination experiment,,1,,,
510,,SDY557,vaccination experiment,,1,,,
511,,SDY557,vaccination experiment,,1,,,
512,,SDY557,vaccination experiment,,1,,,
513,,SDY614,vaccination experiment,,1,,,
514,,SDY614,vaccination experiment,,1,,,
515,,SDY614,vaccination experiment,,1,,,
516,,SDY614,vaccination experiment,,1,,,
517,,SDY614,vaccination experiment,,1,,,
518,,SDY614,vaccination experiment,,1,,,
519,,SDY667,vaccination experiment,,1,,,
520,,SDY80,vaccination experiment,,1,,,
521,,SDY614,vaccination experiment,,1,,,
522,,SDY80,vaccination experiment,,1,,,
523,,SDY80,vaccination experiment,,1,,,
524,,SDY80,vaccination experiment,,1,,,
525,,SDY80,vaccination experiment,,1,,,
526,,SDY80,vaccination experiment,,1,,,
527,,SDY80,vaccination experiment,,1,,,
528,,SDY673,vaccination experiment,,1,,,
529,,SDY673,vaccination experiment,,1,,,
530,,SDY680,vaccination experiment,,1,,,
531,,SDY89,vaccination experiment,,1,,,
532,,SDY647,vaccination experiment,,1,,,
533,,SDY654,vaccination experiment,,1,,,
534,,SDY654,vaccination experiment,,1,,,
535,,SDY654,vaccination experiment,,1,,,
536,,SDY663,vaccination experiment,,1,,,
537,,SDY653,vaccination experiment,,1,,,
538,,SDY653,vaccination experiment,,1,,,
539,,SDY646,vaccination experiment,,1,,,
540,,SDY646,vaccination experiment,,1,,,
541,,SDY646,vaccination experiment,,1,,,
542,,SDY656,vaccination experiment,,1,,,
543,,SDY656,vaccination experiment,,1,,,
544,,SDY656,vaccination experiment,,1,,,
545,,SDY651,vaccination experiment,,1,,,
546,,SDY651,vaccination experiment,,1,,,
547,,SDY651,vaccination experiment,,1,,,
548,,SDY651,vaccination experiment,,1,,,
549,,SDY659,vaccination experiment,,1,,,
550,,SDY659,vaccination experiment,,1,,,
551,,SDY659,vaccination experiment,,1,,,
552,,SDY659,vaccination experiment,,1,,,
553,,SDY659,vaccination experiment,,1,,,
554,,SDY649,vaccination experiment,,1,,,
555,,SDY649,vaccination experiment,,1,,,
556,,SDY564,vaccination experiment,,1,,,
557,,SDY564,vaccination experiment,,1,,,
558,,SDY564,vaccination experiment,,1,,,
559,,SDY420,vaccination experiment,,1,,,
560,,SDY564,vaccination experiment,,1,,,
561,,SDY571,vaccination experiment,,1,,,
562,,SDY571,vaccination experiment,,1,,,
563,,SDY420,vaccination experiment,,1,,,
564,,SDY720,vaccination experiment,,1,,,
565,,SDY720,vaccination experiment,,1,,,
566,,SDY720,vaccination experiment,,1,,,
567,,SDY720,vaccination experiment,,1,,,
568,,SDY720,vaccination experiment,,1,,,
569,,SDY736,vaccination experiment,,1,,,
570,,SDY720,vaccination experiment,,1,,,
571,,SDY720,vaccination experiment,,1,,,
572,,SDY720,vaccination experiment,,1,,,
573,,SDY720,vaccination experiment,,1,,,
574,,SDY720,vaccination experiment,,1,,,
575,,SDY720,vaccination experiment,,1,,,
576,,SDY720,vaccination experiment,,1,,,
577,,SDY720,vaccination experiment,,1,,,
578,,SDY720,vaccination experiment,,1,,,
579,,SDY720,vaccination experiment,,1,,,
580,,SDY720,vaccination experiment,,1,,,
581,,SDY720,vaccination experiment,,1,,,
582,,SDY571,vaccination experiment,,1,,,
583,,SDY56,vaccination experiment,,1,,,
584,,SDY67,vaccination experiment,,1,,,
585,,SDY670,vaccination experiment,,1,,,
586,,SDY557,vaccination experiment,,1,,,
587,,SDY689,vaccination experiment,,1,,,
588,,SDY479,vaccination experiment,,1,,,
589,,SDY614,vaccination experiment,,1,,,
590,,SDY751,vaccination experiment,,1,,,
591,,SDY523,vaccination experiment,,1,,,
592,,SDY571,vaccination experiment,,1,,,
593,,SDY753,vaccination experiment,,1,,,
594,,SDY753,vaccination experiment,,1,,,
595,,SDY614,vaccination experiment,,1,,,
596,,SDY194,vaccination experiment,,1,,,
597,,SDY756,vaccination experiment,,1,,,
598,,SDY756,vaccination experiment,,1,,,
599,,SDY144,vaccination experiment,,1,,,
600,,SDY144,vaccination experiment,,1,,,
601,,SDY144,vaccination experiment,,1,,,
602,,SDY67,vaccination experiment,,1,,,
603,,SDY67,vaccination experiment,,1,,,
604,,SDY670,vaccination experiment,,1,,,
605,,SDY422,vaccination experiment,,1,,,
606,,SDY702,vaccination experiment,,1,,,
607,,SDY773,vaccination experiment,,1,,,
608,,SDY775,vaccination experiment,,1,,,
609,,SDY675,vaccination experiment,,1,,,
610,,SDY787,vaccination experiment,,1,,,
611,,SDY788,vaccination experiment,,1,,,
612,,SDY788,vaccination experiment,,1,,,
613,,SDY789,vaccination experiment,,1,,,
614,,SDY788,vaccination experiment,,1,,,
615,,SDY315,vaccination experiment,,1,,,
616,,SDY472,vaccination experiment,,1,,,
617,,SDY478,vaccination experiment,,1,,,
618,,SDY305,vaccination experiment,,1,,,
619,,SDY739,vaccination experiment,,1,,,
620,,SDY648,vaccination experiment,,1,,,
621,,SDY648,vaccination experiment,,1,,,
622,,SDY571,vaccination experiment,,1,,,
623,,SDY546,vaccination experiment,,1,,,
624,,SDY739,vaccination experiment,,1,,,
625,,SDY739,vaccination experiment,,1,,,
626,,SDY816,vaccination experiment,,1,,,
627,,SDY820,vaccination experiment,,1,,,
628,,SDY67,vaccination experiment,,1,,,
629,,SDY67,vaccination experiment,,1,,,
630,,SDY67,vaccination experiment,,1,,,
631,,SDY67,vaccination experiment,,1,,,
