,study_id,study_type,study_type_id,study_name,reference_id,reference_source,comments,description,study_description
18,5643,,,,SDY1093,,,Apc Restoration in Colorectal Cancer,"The Adenomatous Polyposis Coli (APC) tumor suppressor is mutated in the vast majority of human colorectal cancers (CRC) and leads to deregulated Wnt signaling. To determine whether Apc disruption is required for tumor maintenance, we developed a mouse model of CRC whereby Apc can be conditionally suppressed using a doxycycline-regulated shRNA. Apc suppression produces adenomas in both the small intestine and colon that, in the presence of Kras and p53 mutations, can progress to invasive carcinoma. In established tumors, Apc restoration drives rapid and widespread tumor-cell differentiation and sustained regression without relapse. Tumor regression is accompanied by the re-establishment of normal crypt-villus homeostasis, such that once aberrantly proliferating cells reacquire self-renewal and multi-lineage differentiation capability. Our study reveals that CRC cells can revert to functioning normal cells given appropriate signals, and provide compelling in vivo validation of the Wnt pathway as a therapeutic target for treatment of CRC"
19,4058,,,,SDY1094,,,A Retrospective Multicenter Study to Determine 5-Year Clinical Outcomes in Subjects Previously Enrolled in the CTOT-01 Study (CTOT-17),"This study is a multicenter, non-randomized, retrospective study to collect long term (5 years posttransplant +/- 6 months) clinical outcome data on subjects previously enrolled in the CTOT-01 study."
20,4058,,,,SDY1095,,,A Retrospective Multicenter Study to Determine 4-Year Clinical Outcomes in Subjects Previously Enrolled in the CTOT-05 Study (CTOT-18),"This study is a multicenter, non-randomized, retrospective study to collect long term (4 years post-transplant) clinical outcome data on subjects previously enrolled in the CTOT-05 study."
21,3670,,,,SDY1097,,,Early-life compartmentalization of human T cells,"We present here an analysis of lymphoid and mucosal tissue T cells derived from pediatric organ donors in the first two years of life, as compared to adult organ donors, revealing early compartmentalization of T cell differentiation and regulation."
22,5595,,,,SDY1099,,,DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into AML,"Cytogenetically normal acute myeloid leukemia (CN-AML) represents nearly 50% of human AML. Co-occurring mutations in the de novo DNA methyltransferase DNMT3A and the FMS related tyrosine kinase 3 (FLT3) are common in CN-AML and confer a poorer prognosis, but the molecular mechnism of the double-mutant is unknown. By using a rapid mouse model of FLT3/DNMT3A-Mutant AML and advanced global scRNAseq and methylation profiling techniques, the study demonstrates that DNMT3A haploinsufficiency results in reversible epigenetic alterations that transform FLT3 ITD -mutant myeloproliferative neoplasm into AML."
23,2815,,,,SDY110,,,Immune responses to Helicobacter pylori in a pig model,"Helicobacter pylori infection is the leading cause for peptic ulcer disease and gastric adenocarcinoma. Mucosal T cell responses play an important role in mediating H. pylori-related gastric immunopathology. While induced regulatory T (iTreg) cells are required for chronic colonization without disease, Th1 effector responses are associated with lower bacterial load at the expense of gastric pathology. With the objective of developing a large animal model of H. pylori infection, pigs were inoculated with either H. pylori strain SS1 or J99. Changes in peripheral blood mononuclear cell populations were monitored weekly, and mucosal immune responses and bacterial loads were assessed at day 57 post-infection. Both H. pylori strains elicited a Th1 response with increased percentage of CD4+Tbet+ cells and elevated Tbet and IFN-. mRNA in PBMC. A subset of CD8beta+ T cells and B cells expressing Tbet increased due to infection. Moreover, a significant increase of NK cells was observed in infected pigs pointing towards a predominant cytotoxic immune response. Infiltration of cytotoxic cells was detected in the gastric lamina propria of both infected groups. Interestingly, strain J99 evoked a more dramatic acute response associated with lower bacterial loads, while strain SS1 showed longer-term colonization capacity. This novel pig model of infection closely mimics human gastric pathology and presents a suitable avenue for studying the cytotoxic and regulatory responses towards H. pylori described in humans."
24,4875,,,,SDY1100,,,Project 3 - Optimization experiments DCs DV2 and DV4 - CyTOF,Ex vivo infections of DCs DENV2 and DENV4
25,2883,,,,SDY1108,,,Systemic Immunity for Cancer Immunotherapy,"A systems approach reveals that engagement of systemic immunity is critical to the process of tumor rejection following immunotherapy. Using a spontaneous model of triple-negative breast cancer, we assessed immune cell dynamics across the organism during tumor rejection"
26,4845,,,,SDY1109,,,CD4 Nicaragua Epitope ID,We performed DENV-specific epitope screening studies in the general population of Managua. Peptides with the capacity to bind HLA DR molecules most common in the Nicaraguan population have been predicted and screened in an HLA matched fashion in blood donors from the Nicaraguan Red Cross previously exposed to dengue virus.
27,2883,,,,SDY111,,,VZV vaccination in the elderly SLVP020,Healthy adults (50+ years old) with history of varicella but no history of zoster are vaccinated with Zostavax. Blood and serum are taken prior to vaccination and at several points after. A systems biology approach will be used to identify age-related decreases in immune function and potential predictors and correlates of protection.
28,5824,,,,SDY1115,,,Comparative analysis of neonatal and adult immune responses after in vitro rhinovirus stimulation,"Rhinovirus infections during infancy account for the majority of respiratory illness health care utilization and are an associated risk factor for subsequent development of allergic asthma. Neonatal type I interferon production is diminished compared to adults after stimulation with TLR agonists. However, broad profiling of immune cell responses to infectious rhinovirus has not been undertaken and we hypothesized that additional immune differences can be identified in neonates. Rhinovirus infections during infancy account for the majority of respiratory illness health care utilization and are an associated risk factor for subsequent development of allergic asthma. Neonatal type I interferon production is diminished compared to adults after stimulation with TLR agonists. However, broad profiling of immune cell responses to infectious rhinovirus has not been undertaken and we hypothesized that additional immune differences can be identified in neonates."
29,2516,,,,SDY1119,,,"Systems Biology of 2011 trivalent Influenza vaccine (TIV) in young and elderly individuals, healthy or with T2D (see companion study SDY61 2007, SDY270 2009, SDY56 2010)","Blood samples will be collected at days 0 (pre-vaccination) and 3,7,30,180 after vaccination, and used to Identify signatures of innate immunity, plasmablasts, lymphocytes and monocytes which correlate with antibody responses to the vaccine."
30,2883,,,,SDY112,,,T cell responses to H1N1v and a longitudinal study of seasonal influenza vaccination (TIV) SLVP015 2011 (See companion studies SDY311 2010 / SDY312 2009 / SDY314 2008 / SDY315 2012),"Systems biology approach to examine effects of seasonal flu vaccination in adults of different ages on gene expression, cytokine stimulation and serum cytokines with parameters such as immune senescence to uncover new markers and mechanisms behind failure of immune function in many older people."
31,2883,,,,SDY113,,,Plasmablast response to inactivated and live attenuated influenza vaccines (TIV3/TIV3 ID/LAIV) SLVP021 2011,To study the plasmablast response to influenza vaccines
32,5996,,,,SDY1148,,,Genomic profiles of glioma progression,"Gliomas are diverse neoplasms with multiple molecular subtypes. How tumor-initiating mutations relate to molecular subtypes as these tumors evolve during malignant progression remains unclear. We used genetically-engineered mouse models, histopathology, genetic lineage tracing, expression profiling, and copy number analyses to examine how genomic tumor diversity evolves during the course of malignant progression from low-to high-grade disease."
33,4875,,,,SDY1149,,,Project 3 - Optimization experiments DCs DV2 and DV4 - MBAA,Ex vivo infections of DCs DENV2 and DENV4 - MBAA
34,1281,,,,SDY1152,,,"Phosphorylation profiles of ERK, p38, MAPKs in DCs in response to different pathogenic stimuli","2 different stimuli were used to activated DCs LPS and Curdlan. A time course experiment was conducted for 2 hr to measure the phosphorylation profiles of MAPKs, ERK1/2 and p38."
35,1281,,,,SDY1153,,,Induction of maturation Marker after combinatorial TNFa and IFNb treatment,Explore combinatorial TNFa and IFNb treatment of DCs
36,1281,,,,SDY1154,,,siRNA knock down of RIG-I and TBK1 in DCs,DCs were transfected with RIG-I or TBK1 targeting siRNA and infected with NDV 24h post-transfectio
37,4009,,,,SDY1155,,,RNA-Seq and miRNA-Seq of Human Placenta,RNA sequencing was performed with the primary goal of discovering key placental villous trophoblast(VT) and decidual basalis(DB) transcripts differentially expressed in intra-amniotic infection (IAI)-induced pretrem birth (PTB)
38,4009,,,,SDY1157,,,Immune response throughout human pregnancy,This study combined the high-parameter functional profiling of peripheral immune cells with a previously unknown cell signaling--based Elastic Net (csEN) algorithm to infer a model of interrelated immune features accurately predicting the timing of immunological adaptations over the entire course of a term pregnancy.
39,4009,,,,SDY1162,,,Meta-Analysis of Vaginal Microbiome Data Provides New Insights On Preterm Birth,The study aims to identify differences in vaginal microbiota of pre-term and term deliveries and also non-pregnant women.
40,4009,,,,SDY1164,,,Vaginal microbial signature for preterm birth,Conflicting results in recent years have raised doubt about whether maternal vaginal microbiota contributes to the pathophysiology of preterm birth (PTB). This study compared vaginal microbiota diversity through pregnancy in two cohorts at low and high risk for PTB to elucidate associations between PTB and vaginal microbiota composition.
41,4845,,,,SDY1171,,,Antibody-dependent enhancement of severe dengue disease in humans,"Using multiple statistical approaches to study a long-term pediatric cohort in Nicaragua, we show that risk of severe dengue disease is highest within a narrow range of pre-existing anti-DENV antibody titers. By contrast, we observe protection from all symptomatic dengue disease at high antibody titers. Data are available upon request (eharris@berkeley.edu), as is required by the IRB-approved protocol for the Pediatric Dengue Cohort Study. The materials and data used in this study are covered by standard material transfer agreements."
42,6011,,,,SDY1172,,,Systems Immunology of Malaria,"Systems biology study to determine the molecular hallmarks of naturally acquired clinical immunity to Plasmodium falciparum (Pf) malaria using multi-omic datasets (including RNA-seq transcriptomics, Pf antigen microarray, multi-parameter flow cytometry, multiplex cytokine analysis) in a cohort of Malian children who underwent active bi-weekly surveillance during an intense 6-month malaria transmission season."
43,4009,,,,SDY1173,,,Genetic Associations with Gestational Duration and Spontaneous Preterm Birth,This study identified four loci involved in gestational duration and three with preterm birth through a genome-wide association screen performed on a discovery data set and confirmed with a replication data set.
44,4009,,,,SDY1175,,,Human microbiome characterization through massive shotgun sequencing of circulating cell-free DNA.,"Sequence data from cell free DNA found in 1351 blood samples collected from 188 patient was analyzed and assembled. 3761 of the 7190 larger contiguous regions generated were novel, with little or no homology to existing sequencing data. Presence of coding sequences in the contigs was confirmed in independent experiments and by direct PCR. The organisms identified represent entirely novel taxa, showing a substantially broader diversity in the human microbiome than previously appreciated."
45,5880,,,,SDY1176,,,Extensive homeostatic T cell phenotypic variation within the Collaborative Cross,"The Collaborative Cross (CC) is a panel of reproducible recombinant inbred mouse strains with high levels of standing genetic variation, thereby affording unprecedented opportunity to perform experiments in a small animal model containing controlled genetic diversity while allowing for genetic replicates. Here, we advance the utility of this unique mouse resource for immunology research, as it allows for both examination and genetic dissection of mechanisms behind adaptive immune states in mice with distinct and defined genetic makeups. This approach is founded on quantitative trait locus mapping: identifying genetically variant genome regions associated with phenotypic variance in traits-of-interest. Furthermore, the CC can be utilized for mouse model development; distinct strains have unique immunophenotypes and immune properties, making them suitable for research on particular diseases and infections. Here, we describe variation in cellular immune phenotypes across F1 crosses of CC strains, and reveal novel quantitative trait loci responsible for several immune phenotypes."
46,6062,,,,SDY1177,,,T and B Cell Responses across Autoimmune Diseases,The study aims to establish whether defects in immune cell function are shared across multiple autoimmune diseases and whether those problems match to similar genes in the cells.
47,6067,,,,SDY1178,,,Islet Transplantation in Type 1 Diabetes (CIT-07) and Extended Follow Up after Islet Transplantation in Type 1 Diabetes (CIT-08),"CIT-07: The purpose of this study is to determine the safety and effectiveness of islet transplantation, combined with immunosuppressive medications, for treating type 1 diabetes in individuals experiencing hypoglycemia unawareness and severe hypoglycemic episodes. CIT-08: The purpose of this protocol is to collect long-term follow-up information on the safety and efficacy of islet transplantation in CIT subjects after their completion in their CIT parent study."
48,6069,,,,SDY1182,,,35th Multicenter Airway Research Collaboration (MARC-35),"In this secondary analysis of MARC-35 data, we detected an association between the microbiota profiles of nasal swabs (NS) and nasopharyngeal aspirates (NPA) collected from infants (age <1 year) hospitalized for bronchiolitis. Study data is available by request."
49,6083,,,,SDY1185,,,Dog Sarcoma Therapy,"The drug eBAT is a bispecific angiotoxin targeted to both tumor and tumor neovasculature for sarcomas. It has been shown effectively kills canine hemangiosarcoma and human sarcoma cells in vitro. The paper studied the drug in an in vivo ontarget companion dog trial. Splenectomized dogs with minimal residual disease were given one cycle of eBAT followed by adjuvant doxorubicin in an adaptive dose-finding, phase I--II study of 23 dogs with spontaneous, stage I--II, splenic hemangiosarcoma. eBAT improved 6-month survival from <40% in a comparison population to approximately 70% in dogs treated at a biologically active dose (50 mg/kg). Six dogs were long-term survivors, living >450 days. The expected targeted markers, uPAR and EGFR, are validated in both human and canine sarcoma samples. The results support further translation of eBAT for human patients with sarcomas and perhaps other EGFR-expressing malignancies."
50,4876,,,,SDY1190,,,Single-cell RNA-Seq analysis of MTB and DENV immune responses,Single-cell RNA-Seq analysis of MTB and DENV transcriptional profile was performed
51,4009,,,,SDY1205,,,PTB-associated ancestry variants identification through genome-wide analysis,"This study is a genome-wide association study analysis on 1,349 cases of preterm birth (PTB) and 12,595 ancestry-matched controls. Over 2 million single nucleotide polymorphisms (SNPs) were tested for associations with PTB across five subpopulations: Africa (AFR), the Americas (AMR), Europe (EUR), South Asia (SAS), and East Asia (EAS). Two intergenic loci were associated with PTB at a genome-wide level of significance: rs17591250 (P=4.55E-09) on chromosome 1 in the AFR population and rs1979081 (P=3.72E-08) on chromosome 8 in the AMR group. Several existing replication cohorts were queried and no support of these associations were found."
52,4009,,,,SDY1206,,,Early pregnancy vaginal microbiome trends and preterm birth (see companion study SDY1341),This study seeks to identify vaginal microbial community characteristics over time in a large predominantly African-American cohort of pregnant women and test whether particular community characteristics are associated with the risk for subsequent preterm birth.
53,4009,,,,SDY1215,,,Mitochondrial and Nuclear Ancestry Association to PTB,"Genome-wide genotyping studies of cohorts of preterm and term individuals were evaluated. Mitochondrial haplogroup and nuclear ancestry for individuals were determined and used to develop a scoring for the degree to which mitochondrial ancestry is divergent from nuclear ancestry. Infants with higher degrees of divergent mitochondrial ancestry were at increased risk for preterm birth (0.124 for preterm vs 0.105 for term infants; P < .05). This finding was validated in 1 of 2 replication cohorts. Greater degrees of divergent ancestry correlating with earlier delivery within the primary study population was observed, but this finding was not replicated in secondary cohorts born preterm. Individuals with divergent patterns of mitochondrial and nuclear ancestry are at increased risk for preterm birth. These findings may in part explain the higher rates of preterm birth in African Americans and in individuals with a matrilineal family history of preterm birth."
54,5589,,,,SDY1217,,,AFR in drug resistance of cisplatin in bladder cancer,"Mechanistic study of why elevated tumor suppressor ARF expression in aggressive subtypes of Muscle-invasive bladder cancer (MIBC) is associated with poor outcome and attenuated response to chemotherapy (cisplatin). The study was investigated In both GEMM and murine xenograft models of human MIBC. Resistance was mediated in part by the integrin-binding protein ITGB3BP (CENPR) and reflected ARF-dependent impairment of protein translation, which was exaggerated by drug treatment."
55,6059,,,,SDY1230,,,Immunization Via Mosquito Bite With Radiation-Attenuated Plasmodium Falciparum Sporozoites (IMRAS),"This study is to assess the safety, tolerability, and biomarkers of protection in healthy malaria-naive adults, who will receive bites from Anopheles stephensi mosquitoes either infected with Plasmodium falciparum Sporozoites (PfRAS) (true-immunization) or noninfected (mock-immunization)."
56,4058,,,,SDY1231,,,Immune Monitoring and CNI Withdrawal in Low Risk Recipients of Kidney Transplantation (CTOT-09),"The study will compare how well transplanted kidneys work and the response of people's immune systems as tacrolimus, a calcineurin inhibitor (CNI), is withdrawn. In addition, this research study will evaluate whether reducing immunosuppression can decrease some of these side effects while still preventing rejection of the kidney."
57,5597,,,,SDY1249,,,Whole tumor RNA-sequencing and deconvolution of glioma transcriptional signature,"Using whole tumor RNA-sequencing and mathematical deconvolution strategies to characterize low-grade glioma exosystem of several preclinical mouse models of neurofibromatosis type 1 (NF1) optic glioma, a low-grade astrocytoma whose formation and maintenance requires productive interactions between non-neoplastic and neoplastic cells. The result demonstrate that optic gliomas generated by altering the germline Nf1 gene mutation, the glioma cell of origin, or the presence of co-existing genetic alterations represent molecularly-distinct tumors. However, these optic glioma tumors share a 25-gene core signature, not found in normal optic nerve, that is normalized by microglia inhibition (minocycline), but not conventional (carboplatin) or molecularly-targeted (rapamycin) chemotherapy. In addition, a genetic signature conferred by Pten reduction and corrected by PI3K inhibition was identified, which predicts progression-free survival in patients with either low-grade or high-grade glioma. Collectively, these findings support the concept that gliomas are composite ecological systems whose biology and response to therapy may be best defined by examining the tumor as a whole."
58,2771,,,,SDY1252,,,innate immune responses to AS03 adjuvanted vs. non-adjuvanted H5N1 vaccine,"Study the effect of AS03 adjuvant on the innate/early immune response to H5N1, avian flu, a potentially lethal disease that most subjects are assumed to be naive to. AS03 is an adjuvant oil in water emulsion containing DL-alpha-tocopherol, squalene and the non-ionic detergent Tween 80 that has been widely used as an adjuvant to flu vaccines produced by GlaxoSmithKline(GSK)."
59,6058,,,,SDY1256,,,Small Sample- Big Data: The Gambia,Systems Biology Characterization in Early Life
60,6133,,,,SDY1260,,,Correlation between human innate and adaptive immune responses to T-cell independent or dependent meningococcal vaccines.,"Thirty healthy adults (18-45 years of age) with no history of prior meningococcal vaccination and no contraindications to immunization will be vaccinated using either the meningococcal conjugate vaccine (MCV) or the meningococcal non-conjugate polysaccharide vaccine (MPSV). The study will be conducted as a randomized double blinded trial. Vaccine administration will be performed by an unblinded vaccine administrator, who will not be involved in subsequent assessments. Blood samples will be collected on Days D0 (at enrollment) and D3, D7, D14, D30 and D180 post vaccination to study innate and adaptive immunity markers. Even though meningococcal vaccination is considered safe, volunteers are asked to report any local or systemic AEs for 30 days post vaccination and any SAEs for 180 days post vaccination."
61,6133,,,,SDY1264,,,Systems biology approach predicts immunogenicity of the yellow fever vaccine in humans,"A major challenge in vaccinology is to prospectively determine vaccine efficacy. Here we have used a systems biology approach to identify early gene signatures that predicted immune responses in humans vaccinated with yellow fever vaccine YF-17D. Vaccination induced genes that regulate virus innate sensing and type I interferon production. Computational analyses identified a gene signature, including complement protein C1qB and eukaryotic translation initiation factor 2 alpha kinase 4, an orchestrator of the integrated stress response that correlated with and predicted YF-17D CD8+ T cell responses with up to 90% accuracy in an independent, blinded trial. A distinct signature, including B cell growth factor TNFRS17, predicted the neutralizing antibody response with up to 100% accuracy. These data highlight the utility of systems biology approaches in predicting vaccine efficacy."
62,6133,,,,SDY1267,,,Malaria Vaccine in Healthy Adults,This study will evaluate whether administration of two investigational malaria vaccines (257049 and Ad35.CS.01 vaccines) combined in one immunization schedule increases protection against malaria infection as compared to protection induced by the 257049 vaccine alone. The study will also evaluate the safety and the immune response to the new combination of the two experimental malaria vaccines.
63,6133,,,,SDY1276,,,Time series of global gene expression after trivalent influenza vaccination in humans,The relationship between gene expression patterns and humoral immune response to vaccination was analyzed in order to understand the interindividual variability among immune reponse to vaccination
64,4875,,,,SDY1288,,,Chikungunya virus infection immunoprofiling in pediatric cohort,Immunoprofiling of acute and convalescent blood samples from CHIKV infected children
65,6133,,,,SDY1289,,,YFV integrated mulitlineage and polyfunctional responses,Immunization with YF17D leades to an integrated immune response.
66,3670,,,,SDY1290,,,Dendritic Cell Maturation Dynamics,"This study characterizes and maps human dendritic cell subset distribution, migration and function across multiple lymphoid and mucosal tissues from individual organ donors aged <1-93 years of age. ."
67,6133,,,,SDY1291,,,Merck Ad5/HIV induces broad innate immune activation that predicts CD8_ T-cell responses but is attenuated by preexisting Ad5 immunity.,"To better understand how innate immune responses to vaccination can lead to lasting protective immunity, we used a systems approach to define immune signatures in humans over 1 wk following MRKAd5/HIV vaccination that predicted subsequent HIV-specific T-cell responses."
68,6133,,,,SDY1293,,,"Expression of genes associated with immunoproteasome processing of major histocompatibility complex peptides is indicative of protection with adjuvanted RTS,S malaria vaccine.","The goals of the present study were to determine whether there is a gene expression profile that is predictive of an individual's response to the adjuvanted RTS,S malaria vaccine and to identify the time at which that profile can be discerned before challenge."
69,6133,,,,SDY1294,,,A Systems Vaccinology Approach Reveals Temporal Transcriptomic Changes of Immune Responses to the Yellow Fever 17D Vaccine.,"In this study, we used a systems vaccinology approach to identify temporal changes in immune response signatures to the yellow fever (YF)-17D vaccine, with the aim of comprehensively characterizing immune responses associated with protective immunity."
70,5882,,,,SDY1295,,,Perceived Barriers to Patient Adherence after Pediatric Solid Organ Transplantation (CTOTC-05),"This is a two part prospective, observational, multi-center cohort study of SOT recipients. The first part is a cross sectional comparison of perceived barriers to adherence to post-transplant immunosuppressant regimens in parents of children (0-11 years) versus adolescents (12-21 years). The second is a longitudinal study to evaluate whether perceived barriers to adherence increase with time during the first year following transplantation."
71,5598,,,,SDY1298,,,EZH2 as an Therapy Target in Lung Cancer,"As a master regulator of chromatin function, the lysine methyltransferase EZH2 orchestrates transcriptional silencing of developmental gene networks. Overexpression of EZH2 is commonly observed in human epithelial cancers. Overexpression of EZH2 is commonly observed in human epithelial cancers. The paper demonstrated the causal role of EZH2 overexpression in NSCLC with humEZH2 in mouse models of lung adenocarcinoma, which featured distinct transcription program from KRAS- and EGFR models. To target EZH2-dependent cancers, the lab designed an open-source EZH2 inhibitor JQEZ5 and shown antitumor efficacy in preclinical studies in EZH2-driven models."
72,5290,,,,SDY1299,,,Identification of Three Rheumatoid Arthritis Disease Subtypes By Machine Learning Integration of Synovial Histologic Features and RNA Sequencing Data,"Gene expression analysis of RA and OA synovial tissue revealed 3 distinct synovial subtypes. These labels were used to generate a histologic scoring algorithm in which the histologic scores were found to be associated with parameters of systemic inflammation, including the erythrocyte sedimentation rate, CRP levels, and autoantibody levels. Comparison of gene expression patterns to clinical features revealed a potentially clinically important distinction: mechanisms of pain may differ in patients with different synovial subtypes."
