sample_id,group_id,organism_id,collection,collection_id,collection_time,collection_time_unit,collection_time_unit_id,T0_definition,expsample_type,expsample_type_id,expsample_reference_id,expsample_reference_name,biosample_type,biosample_type_id,biosample_reference_id,biosample_reference_name,replicates,expsample_source
88,,16,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094525,PBMC,NCIT_C12519,ES1067622,,,GEO
89,,17,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094526,PBMC,NCIT_C12519,ES1067623,,,GEO
90,,18,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094527,PBMC,NCIT_C12519,ES1067624,,,GEO
91,,19,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094528,PBMC,NCIT_C12519,ES1067625,,,GEO
92,,20,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094540,PBMC,NCIT_C12519,ES1067626,,,GEO
93,,21,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094529,PBMC,NCIT_C12519,ES1067627,,,GEO
94,,22,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094534,PBMC,NCIT_C12519,ES1067628,,,GEO
95,,23,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094535,PBMC,NCIT_C12519,ES1067629,,,GEO
96,,24,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094530,PBMC,NCIT_C12519,ES1067630,,,GEO
97,,25,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094531,PBMC,NCIT_C12519,ES1067631,,,GEO
98,,26,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094541,PBMC,NCIT_C12519,ES1067632,,,GEO
99,,27,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094532,PBMC,NCIT_C12519,ES1067633,,,GEO
100,,28,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094533,PBMC,NCIT_C12519,ES1067634,,,GEO
101,,29,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094536,PBMC,NCIT_C12519,ES1067635,,,GEO
102,,30,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094537,PBMC,NCIT_C12519,ES1067636,,,GEO
103,,31,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094538,PBMC,NCIT_C12519,ES1067637,,,GEO
104,,32,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094539,PBMC,NCIT_C12519,ES1067638,,,GEO
105,,33,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094542,PBMC,NCIT_C12519,ES1067639,,,GEO
106,,34,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094543,PBMC,NCIT_C12519,ES1067640,,,GEO
107,,35,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094544,PBMC,NCIT_C12519,ES1067641,,,GEO
108,,36,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094545,PBMC,NCIT_C12519,ES1067642,,,GEO
109,,37,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094546,PBMC,NCIT_C12519,ES1067643,,,GEO
110,,38,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094549,PBMC,NCIT_C12519,ES1067644,,,GEO
111,,39,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094550,PBMC,NCIT_C12519,ES1067645,,,GEO
112,,40,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094547,PBMC,NCIT_C12519,ES1067646,,,GEO
113,,41,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094548,PBMC,NCIT_C12519,ES1067647,,,GEO
114,,42,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094551,PBMC,NCIT_C12519,ES1067648,,,GEO
115,,43,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094552,PBMC,NCIT_C12519,ES1067649,,,GEO
116,,44,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094553,PBMC,NCIT_C12519,ES1067650,,,GEO
117,,45,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094560,PBMC,NCIT_C12519,ES1067651,,,GEO
118,,46,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094554,PBMC,NCIT_C12519,ES1067652,,,GEO
119,,47,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094557,PBMC,NCIT_C12519,ES1067653,,,GEO
120,,48,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094555,PBMC,NCIT_C12519,ES1067654,,,GEO
121,,49,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094556,PBMC,NCIT_C12519,ES1067655,,,GEO
122,,50,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094558,PBMC,NCIT_C12519,ES1067656,,,GEO
123,,51,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094559,PBMC,NCIT_C12519,ES1067657,,,GEO
124,,52,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094561,PBMC,NCIT_C12519,ES1067658,,,GEO
125,,53,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094562,PBMC,NCIT_C12519,ES1067659,,,GEO
126,,54,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094571,PBMC,NCIT_C12519,ES1067660,,,GEO
127,,55,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094563,PBMC,NCIT_C12519,ES1067661,,,GEO
128,,56,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094564,PBMC,NCIT_C12519,ES1067662,,,GEO
129,,57,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094565,PBMC,NCIT_C12519,ES1067663,,,GEO
130,,58,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094568,PBMC,NCIT_C12519,ES1067664,,,GEO
131,,59,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094566,PBMC,NCIT_C12519,ES1067665,,,GEO
132,,60,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094573,PBMC,NCIT_C12519,ES1067666,,,GEO
133,,61,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094574,PBMC,NCIT_C12519,ES1067667,,,GEO
134,,62,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094569,PBMC,NCIT_C12519,ES1067668,,,GEO
135,,63,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094567,PBMC,NCIT_C12519,ES1067669,,,GEO
136,,64,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094572,PBMC,NCIT_C12519,ES1067670,,,GEO
137,,65,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094570,PBMC,NCIT_C12519,ES1067671,,,GEO
138,,66,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094575,PBMC,NCIT_C12519,ES1067672,,,GEO
139,,67,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094576,PBMC,NCIT_C12519,ES1067673,,,GEO
140,,68,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094578,PBMC,NCIT_C12519,ES1067674,,,GEO
141,,69,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094577,PBMC,NCIT_C12519,ES1067675,,,GEO
142,,70,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094579,PBMC,NCIT_C12519,ES1067676,,,GEO
143,,71,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094580,PBMC,NCIT_C12519,ES1067677,,,GEO
144,,72,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094581,PBMC,NCIT_C12519,ES1067678,,,GEO
145,,1,blood draw,EFO_0009121,3.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094582,PBMC,NCIT_C12519,ES1067679,,,GEO
146,,2,blood draw,EFO_0009121,3.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094583,PBMC,NCIT_C12519,ES1067680,,,GEO
147,,3,blood draw,EFO_0009121,3.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094584,PBMC,NCIT_C12519,ES1067681,,,GEO
148,,4,blood draw,EFO_0009121,3.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094585,PBMC,NCIT_C12519,ES1067682,,,GEO
149,,5,blood draw,EFO_0009121,3.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094586,PBMC,NCIT_C12519,ES1067683,,,GEO
150,,6,blood draw,EFO_0009121,3.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094587,PBMC,NCIT_C12519,ES1067684,,,GEO
151,,7,blood draw,EFO_0009121,3.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094591,PBMC,NCIT_C12519,ES1067685,,,GEO
152,,8,blood draw,EFO_0009121,3.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094588,PBMC,NCIT_C12519,ES1067686,,,GEO
153,,9,blood draw,EFO_0009121,3.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094589,PBMC,NCIT_C12519,ES1067687,,,GEO
154,,10,blood draw,EFO_0009121,3.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094590,PBMC,NCIT_C12519,ES1067688,,,GEO
155,,11,blood draw,EFO_0009121,3.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094592,PBMC,NCIT_C12519,ES1067689,,,GEO
156,,12,blood draw,EFO_0009121,3.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094593,PBMC,NCIT_C12519,ES1067690,,,GEO
157,,13,blood draw,EFO_0009121,3.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094594,PBMC,NCIT_C12519,ES1067691,,,GEO
158,,14,blood draw,EFO_0009121,3.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094595,PBMC,NCIT_C12519,ES1067692,,,GEO
159,,15,blood draw,EFO_0009121,3.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094596,PBMC,NCIT_C12519,ES1067693,,,GEO
160,,16,blood draw,EFO_0009121,3.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094597,PBMC,NCIT_C12519,ES1067694,,,GEO
161,,17,blood draw,EFO_0009121,3.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094598,PBMC,NCIT_C12519,ES1067695,,,GEO
162,,18,blood draw,EFO_0009121,3.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094599,PBMC,NCIT_C12519,ES1067696,,,GEO
163,,19,blood draw,EFO_0009121,3.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094600,PBMC,NCIT_C12519,ES1067697,,,GEO
164,,20,blood draw,EFO_0009121,3.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094612,PBMC,NCIT_C12519,ES1067698,,,GEO
165,,21,blood draw,EFO_0009121,3.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094601,PBMC,NCIT_C12519,ES1067699,,,GEO
166,,22,blood draw,EFO_0009121,3.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094606,PBMC,NCIT_C12519,ES1067700,,,GEO
167,,23,blood draw,EFO_0009121,3.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094607,PBMC,NCIT_C12519,ES1067701,,,GEO
168,,24,blood draw,EFO_0009121,3.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094602,PBMC,NCIT_C12519,ES1067702,,,GEO
169,,25,blood draw,EFO_0009121,3.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094603,PBMC,NCIT_C12519,ES1067703,,,GEO
