,0
SNORD126,2.024948888
SNORD12B,3.621575156
SNORD48,4.996677463
SNORD59B,17.65467183
SNORD91A,2.042664682
SNORD91B,2.66809149
SNORD96B,2.292586124
SNX31,2.446745643
SOX15,5.375803158
SPDYE2,3.661657502
SPOCK1,2.817637314
SPPL2C,10.79260578
SPZ1,5.823778022
STEAP3,2.022542272
SYNPR,2.18260515
TBC1D3P5,10.09937897
TCP11L2,2.474226624
TENM4,2.144793007
TINAG,4.481577129
TMEM260,2.218797544
TMEM74,4.059416867
TMTC2,2.456805331
TMTC4,17.12526645
TNFRSF18,2.239422965
TNFSF18,2.992221051
TOB2P1,2.477708088
TRMT10A,2.010379536
TRPM3,3.882032798
TSHB,3.165357396
TSPY8,3.044045612
TTC12,2.081122564
TTTY17A,10.8031772
TTTY18,3.62133971
TTTY4B,2.80493004
TTTY7B,4.663100904
TVP23A,9.95206669
UBXN10,2.411495519
VHLL,2.152889395
DNAI3,2.144999748
WIF1,2.351885361
WNT3A,2.036433864
XAGE1B,3.901883549
ZKSCAN7,5.057248408
ZNF385B,2.742002318
ZNF639,2.53587946
ZNF678,2.160035585
ZSCAN31,3.525238352
ANXA8L1,17.45406846
RIC1,2.159669084
CNTN1,7.113489439
LINC01547,13.76561943
BCO1,4.028013439
PMEL,2.368705478
ERICH4,2.462336626
CLK2P1,2.645558651
